ts_code,name,industry,vol_ratio,rise_pct,upper_shadow,close,zone_chips,zone_chips_pct
000016.SZ,深康佳Ａ,家用电器,2.07,6.58,1.25,3.4,,N/A (禁用WINNER)
000550.SZ,江铃汽车,汽车整车,3.24,4.01,0.9,19.71,,N/A (禁用WINNER)
000629.SZ,钒钛股份,小金属,2.59,7.16,2.29,3.74,,N/A (禁用WINNER)
000782.SZ,恒申新材,化纤,3.89,9.35,0.65,6.78,,N/A (禁用WINNER)
600203.SH,福日电子,元器件,2.09,5.16,0.83,12.64,,N/A (禁用WINNER)
600243.SH,*ST海华,运输设备,6.9,3.7,1.42,3.64,,N/A (禁用WINNER)
600280.SH,中央商场,百货,2.05,3.06,0.34,3.03,,N/A (禁用WINNER)
600351.SH,亚宝药业,中成药,4.88,5.76,1.56,6.79,,N/A (禁用WINNER)
600503.SH,华丽家族,区域地产,2.16,6.11,0.44,2.43,,N/A (禁用WINNER)
600665.SH,天地源,全国地产,2.07,6.17,2.16,3.44,,N/A (禁用WINNER)
002072.SZ,凯瑞德,商贸代理,2.39,2.83,1.21,7.63,,N/A (禁用WINNER)
002151.SZ,北斗星通,通信设备,2.08,5.59,2.07,40.21,,N/A (禁用WINNER)
002179.SZ,中航光电,元器件,2.1,4.91,0.34,36.94,,N/A (禁用WINNER)
300213.SZ,佳讯飞鸿,通信设备,3.08,7.18,0.39,8.21,,N/A (禁用WINNER)
002216.SZ,三全食品,食品,2.81,5.95,1.69,14.43,,N/A (禁用WINNER)
002248.SZ,华东数控,机床制造,3.11,6.45,2.68,12.7,,N/A (禁用WINNER)
002266.SZ,浙富控股,环境保护,3.26,6.44,0.89,4.79,,N/A (禁用WINNER)
002317.SZ,众生药业,中成药,2.62,5.01,0.44,19.28,,N/A (禁用WINNER)
002340.SZ,格林美,小金属,2.04,5.81,0.83,8.92,,N/A (禁用WINNER)
300031.SZ,宝通科技,互联网,3.8,9.29,0.1,22.7,,N/A (禁用WINNER)
002566.SZ,益盛药业,中成药,3.11,6.1,2.86,8.17,,N/A (禁用WINNER)
002402.SZ,和而泰,元器件,2.48,4.63,2.0,32.96,,N/A (禁用WINNER)
002480.SZ,新筑股份,运输设备,2.76,7.85,0.8,6.73,,N/A (禁用WINNER)
002615.SZ,哈尔斯,家居用品,3.37,5.67,0.9,8.2,,N/A (禁用WINNER)
002545.SZ,东方铁塔,农药化肥,2.08,6.05,3.27,24.02,,N/A (禁用WINNER)
002563.SZ,森马服饰,服饰,2.23,4.04,1.1,5.66,,N/A (禁用WINNER)
002578.SZ,闽发铝业,铝,2.99,6.75,0.26,4.11,,N/A (禁用WINNER)
002612.SZ,朗姿股份,服饰,3.4,5.98,2.36,17.55,,N/A (禁用WINNER)
002695.SZ,煌上煌,食品,2.83,4.02,1.31,11.9,,N/A (禁用WINNER)
603806.SH,福斯特,塑料,3.41,6.48,2.48,18.9,,N/A (禁用WINNER)
300351.SZ,永贵电器,运输设备,2.02,10.18,2.9,22.41,,N/A (禁用WINNER)
