ts_code,symbol,vol_ratio,rise_pct,upper_shadow,close,trade_date,winner_close,winner_low90,zone_chips,note
000063.SZ,000063,2.2,4.22,2.32,38.25,20260506,87.8,13.36,74.44,74.4%
000514.SZ,000514,2.72,4.67,1.83,5.16,20260506,81.4,7.77,73.63,73.6%
000560.SZ,000560,2.04,4.04,1.68,3.09,20260506,83.11,2.56,80.55,80.5%
000629.SZ,000629,2.14,6.32,1.37,3.87,20260506,72.17,30.11,42.06,42.1%
000766.SZ,000766,2.49,2.96,1.22,25.4,20260506,79.27,47.62,31.65,31.6%
000960.SZ,000960,2.02,9.11,0.62,38.46,20260506,88.06,22.67,65.39,65.4%
001218.SZ,001218,4.79,2.57,1.05,28.34,20260506,86.93,56.03,30.9,30.9%
001257.SZ,001257,2.63,9.72,0.27,24.71,20260506,99.78,16.88,82.9,82.9%
001259.SZ,001259,2.8,5.71,1.66,36.3,20260506,95.05,49.68,45.37,45.4%
002017.SZ,002017,3.27,3.96,0.95,19.68,20260506,81.68,0,81.68,81.7%
002030.SZ,002030,5.1,5.54,2.08,6.1,20260506,49.39,0.05,49.34,49.3%
002053.SZ,002053,2.57,5.96,1.82,12.26,20260506,58.08,4.87,53.21,53.2%
002065.SZ,002065,2.07,3.4,1.09,8.51,20260506,49.06,0.64,48.42,48.4%
002104.SZ,002104,6.56,6.82,3.16,15.2,20260506,81.39,1.66,79.73,79.7%
002271.SZ,002271,2.17,7.35,1.47,16.06,20260506,75.04,5.8,69.24,69.2%
002296.SZ,002296,2.06,3.89,1.86,11.74,20260506,84.04,0.11,83.93,83.9%
002392.SZ,002392,3.4,7.71,2.28,9.92,20260506,96.34,71.99,24.35,24.4%
002617.SZ,002617,2.1,4.03,0.91,8.0,20260506,90.6,7.34,83.26,83.3%
002630.SZ,002630,4.61,2.51,2.51,2.04,20260506,50.39,5.18,45.21,45.2%
002631.SZ,002631,2.0,8.87,1.14,8.59,20260506,95.22,73.25,21.97,22.0%
002698.SZ,002698,2.74,7.82,1.41,13.78,20260506,32.04,0.82,31.22,31.2%
002757.SZ,002757,2.07,9.28,0.73,25.31,20260506,99.14,31.77,67.37,67.4%
002917.SZ,002917,2.15,3.7,2.23,13.46,20260506,51.27,5.52,45.75,45.8%
002965.SZ,002965,2.14,4.72,2.65,30.82,20260506,79.95,0.61,79.34,79.3%
002990.SZ,002990,2.17,8.51,1.02,58.41,20260506,96.98,36.63,60.35,60.4%
002993.SZ,002993,2.57,7.26,1.52,50.94,20260506,83.48,14.13,69.35,69.4%
002998.SZ,002998,2.6,5.88,1.37,10.08,20260506,98.37,33.98,64.39,64.4%
300139.SZ,300139,2.38,10.29,2.36,58.32,20260506,95.79,33.3,62.49,62.5%
300154.SZ,300154,2.19,7.74,0.67,9.6,20260506,96.04,57.94,38.1,38.1%
300158.SZ,300158,2.95,5.07,0.52,6.01,20260506,47.46,0.19,47.27,47.3%
300170.SZ,300170,3.92,12.76,2.42,22.35,20260506,95.56,24.97,70.59,70.6%
300182.SZ,300182,2.16,4.11,1.25,5.83,20260506,84.94,0,84.94,84.9%
300214.SZ,300214,2.79,10.57,1.22,9.1,20260506,95.92,59.73,36.19,36.2%
300229.SZ,300229,2.43,4.76,1.57,18.72,20260506,73.44,0,73.44,73.4%
300255.SZ,300255,2.2,11.15,1.79,45.97,20260506,88.5,31.62,56.88,56.9%
300287.SZ,300287,2.06,3.01,0.46,4.45,20260506,66.15,0,66.15,66.2%
300393.SZ,300393,2.4,10.08,3.46,11.14,20260506,95.94,43.27,52.67,52.7%
300445.SZ,300445,2.41,6.81,1.83,23.37,20260506,92.66,31.25,61.41,61.4%
300472.SZ,300472,2.31,3.45,1.23,8.4,20260506,89.36,3.76,85.6,85.6%
300520.SZ,300520,2.48,5.59,2.61,36.85,20260506,76.1,7.68,68.42,68.4%
300531.SZ,300531,2.01,6.13,1.22,20.09,20260506,80.75,0.58,80.17,80.2%
300553.SZ,300553,2.5,8.46,0.61,47.83,20260506,98.18,58.61,39.57,39.6%
300617.SZ,300617,2.46,8.9,2.65,65.69,20260506,78.45,13.49,64.96,65.0%
300640.SZ,300640,3.74,5.68,3.24,7.82,20260506,92.82,31.05,61.77,61.8%
300650.SZ,300650,2.26,3.52,3.08,16.48,20260506,85.63,10.62,75.01,75.0%
300656.SZ,300656,2.04,15.38,2.45,29.18,20260506,96.7,78.1,18.6,18.6%
300693.SZ,300693,2.63,7.12,2.84,49.78,20260506,63.91,2.59,61.32,61.3%
300698.SZ,300698,2.43,4.64,1.43,39.43,20260506,67.05,13.41,53.64,53.6%
300798.SZ,300798,2.1,11.29,0.39,11.34,20260506,79.43,9.51,69.92,69.9%
300830.SZ,300830,2.02,4.68,0.96,10.95,20260506,79.04,0,79.04,79.0%
300846.SZ,300846,2.82,10.09,3.03,29.45,20260506,82.07,8.55,73.52,73.5%
300872.SZ,300872,2.15,10.66,2.0,18.27,20260506,94.41,53.93,40.48,40.5%
300910.SZ,300910,3.35,5.65,0.21,49.17,20260506,61.34,2.11,59.23,59.2%
300983.SZ,300983,2.76,12.85,2.22,36.09,20260506,96.86,47.99,48.87,48.9%
300996.SZ,300996,2.46,4.64,2.8,13.08,20260506,91.74,18.71,73.03,73.0%
301125.SZ,301125,3.37,7.46,0.86,24.91,20260506,91.35,27.78,63.57,63.6%
301141.SZ,301141,2.4,7.72,3.18,56.53,20260506,88.64,7.27,81.37,81.4%
301168.SZ,301168,2.58,2.92,1.67,43.75,20260506,68.07,1.5,66.57,66.6%
301178.SZ,301178,2.46,6.51,0.55,58.1,20260506,98.36,21.9,76.46,76.5%
301202.SZ,301202,2.3,4.21,3.05,42.09,20260506,81.3,10.04,71.26,71.3%
301235.SZ,301235,3.02,12.63,3.16,56.99,20260506,83.15,35.24,47.91,47.9%
301252.SZ,301252,2.65,7.76,3.15,39.71,20260506,93.35,5.26,88.09,88.1%
301281.SZ,301281,2.18,4.35,0.29,39.33,20260506,93.84,5.15,88.69,88.7%
301293.SZ,301293,2.14,4.18,1.7,66.8,20260506,55.06,0,55.06,55.1%
301366.SZ,301366,3.59,6.62,2.11,40.89,20260506,99.7,51.9,47.8,47.8%
301618.SZ,301618,2.76,3.09,0.86,50.33,20260506,87.4,0,87.4,87.4%
600081.SH,600081,3.13,8.68,0.97,12.27,20260506,66.46,13.77,52.69,52.7%
600088.SH,600088,2.14,3.49,2.05,15.12,20260506,43.38,4.11,39.27,39.3%
600158.SH,600158,2.28,4.14,2.62,12.34,20260506,88.63,37.9,50.73,50.7%
