月份,代码,名称,进前涨幅%,起点日期,历时天数,在VL月数,在VL路径,命运,最终收益%,回本,最大回撤%
1月,sh600030,中信证券,18.9,20250407,201,1,1月,当月淘汰,-8.79,否,-16.25
1月,sh600089,特变电工,148.88,20250407,201,4,1月→2月→3月→4月,4月淘汰,-5.48,是,-12.98
1月,sh600111,北方稀土,27.23,20251121,47,3,1月→2月→4月,4月淘汰,-8.33,是,-16.09
1月,sh600219,南山铝业,147.27,20250409,199,1,1月,当月淘汰,-36.27,否,-38.11
1月,sh600362,江西铜业,255.91,20250408,200,1,1月,当月淘汰,-38.27,否,-39.76
1月,sh600392,盛和资源,194.12,20250407,201,2,1月→2月,2月淘汰,-25.7,是,-36.37
1月,sh600418,江淮汽车,79.36,20250408,200,2,1月→2月,2月淘汰,-35.23,是,-35.3
1月,sh600489,中金黄金,238.84,20250303,225,1,1月,当月淘汰,-45.32,否,-45.39
1月,sh600497,驰宏锌锗,123.11,20250407,201,1,1月,当月淘汰,-12.74,是,-32.8
1月,sh600531,豫光金铅,312.48,20250408,200,1,1月,当月淘汰,-46.63,否,-50.38
1月,sh600547,山东黄金,159.79,20250228,226,1,1月,当月淘汰,-52.37,否,-52.37
1月,sh600711,盛屯矿业,272.29,20250221,230,2,1月→2月,2月淘汰,-24.74,是,-36.57
1月,sh600879,航天电子,220.64,20250407,201,1,1月,当月淘汰,-25.25,是,-28.09
1月,sh600900,长江电力,1.48,20260128,1,4,1月→2月→3月→4月,4月淘汰,1.57,是,-2.78
1月,sh600938,中国海油,56.78,20250407,201,2,1月→3月,3月淘汰,-14.0,否,-14.78
1月,sh600988,赤峰黄金,182.35,20250120,249,2,1月→3月,3月淘汰,-22.67,是,-29.54
1月,sh601168,西部矿业,173.89,20250409,199,2,1月→2月,2月淘汰,-4.23,是,-31.93
1月,sh601212,白银有色,484.23,20250408,200,1,1月,当月淘汰,-58.72,否,-58.72
1月,sh601600,中国铝业,150.0,20250408,200,2,1月→2月,2月淘汰,-10.01,是,-28.87
1月,sh601601,中国太保,58.75,20250407,201,1,1月,当月淘汰,-30.32,否,-30.66
1月,sh601688,华泰证券,57.67,20250407,201,2,1月→2月,2月淘汰,-18.03,否,-20.69
1月,sh601857,中国石油,48.37,20250407,201,2,1月→3月,3月淘汰,-10.83,是,-14.57
1月,sh601899,紫金矿业,183.06,20250228,226,2,1月→2月,2月淘汰,-19.43,是,-26.44
1月,sh603993,洛阳钼业,339.51,20250409,199,2,1月→2月,2月淘汰,-15.79,是,-33.51
1月,sz000426,兴业银锡,518.08,20250409,199,1,1月,当月淘汰,-41.93,否,-47.21
1月,sz000506,招金黄金,633.16,20250124,244,1,1月,当月淘汰,-50.25,否,-51.09
1月,sz000603,盛达资源,442.4,20250408,200,1,1月,当月淘汰,-54.42,否,-54.42
1月,sz000630,铜陵有色,211.53,20250408,200,1,1月,当月淘汰,-24.92,否,-39.17
1月,sz000737,北方铜业,150.24,20250408,200,1,1月,当月淘汰,-32.43,否,-39.23
1月,sz000807,云铝股份,164.66,20250409,199,3,1月→2月→3月,3月淘汰,-8.1,是,-22.31
1月,sz000831,中国稀土,35.92,20251216,30,3,1月→2月→4月,4月淘汰,-10.36,是,-16.08
1月,sz000878,云南铜业,168.4,20250408,191,1,1月,当月淘汰,-39.87,否,-41.33
1月,sz000960,锡业股份,225.11,20250409,199,1,1月,当月淘汰,-13.79,是,-37.93
1月,sz000975,山金国际,141.94,20250121,248,1,1月,当月淘汰,-41.98,否,-41.98
1月,sz001280,中国铀业,,,,3,1月→2月→3月,3月淘汰,-10.21,是,-16.37
1月,sz001337,四川黄金,244.56,20250303,225,1,1月,当月淘汰,-33.18,否,-39.13
1月,sz002050,三花智控,119.03,20250408,200,3,1月→2月→4月,4月淘汰,-1.24,是,-14.88
1月,sz002115,三维通信,145.31,20250127,244,1,1月,当月淘汰,-22.29,是,-27.56
1月,sz002130,沃尔核材,14.29,20251121,47,2,1月→2月,2月淘汰,-19.63,是,-28.79
1月,sz002237,恒邦股份,133.94,20250408,200,1,1月,当月淘汰,-41.35,否,-41.35
1月,sz002837,英维克,313.1,20250603,164,2,1月→2月,2月淘汰,-19.57,是,-27.2
1月,sz002851,麦格米特,199.6,20250530,165,3,1月→2月→4月,4月淘汰,4.86,是,-15.36
1月,sz002931,锋龙股份,,,,1,1月,当月淘汰,-47.2,是,-54.89
1月,sz300033,同花顺,16.49,20251216,30,2,1月→2月,2月淘汰,-32.5,否,-32.77
1月,sz300058,蓝色光标,284.24,20251017,72,2,1月→2月,2月淘汰,-12.11,是,-29.63
1月,sz300102,乾照光电,335.58,20250407,201,2,1月→2月,2月淘汰,-32.98,是,-37.34
1月,sz300139,晓程科技,457.33,20250407,201,1,1月,当月淘汰,-47.61,否,-47.61
1月,sz300170,汉得信息,125.45,20250117,250,2,1月→2月,2月淘汰,-22.7,是,-31.37
1月,sz300475,香农芯创,38.52,20251204,38,3,1月→4月→5月,仍在VL,,,
1月,sz301171,易点天下,240.53,20250407,198,1,1月,当月淘汰,-39.83,是,-55.03
2月,sh600028,中国石化,20.42,20250930,90,1,2月,当月淘汰,-23.86,是,-38.49
2月,sh600150,中国船舶,33.05,20250407,208,2,2月→4月,4月淘汰,-10.49,是,-10.51
2月,sh600391,航发科技,178.64,20250218,245,1,2月,当月淘汰,-30.69,是,-33.98
2月,sh600490,鹏欣资源,193.5,20250228,237,1,2月,当月淘汰,-22.47,是,-36.87
2月,sh600673,东阳光,327.6,20250407,212,2,2月→4月,4月淘汰,0.62,是,-16.83
2月,sh600685,中船防务,73.45,20250407,212,1,2月,当月淘汰,-21.56,是,-27.31
2月,sh601088,中国神华,17.26,20250304,225,2,2月→3月,3月淘汰,0.36,是,-7.52
2月,sh601231,环旭电子,222.45,20250408,211,1,2月,当月淘汰,10.67,是,-32.18
2月,sh601398,工商银行,5.8,20250312,229,3,2月→3月→4月,4月淘汰,-3.09,是,-5.88
2月,sh601988,中国银行,2.51,20250930,90,2,2月→3月,3月淘汰,-0.17,是,-4.88
2月,sh603667,五洲新春,194.19,20250408,211,1,2月,当月淘汰,-20.83,否,-30.42
2月,sh603920,世运电路,169.79,20250408,211,1,2月,当月淘汰,-2.36,是,-27.39
2月,sz000408,藏格矿业,159.95,20250211,250,2,2月→3月,3月淘汰,-2.64,是,-15.29
2月,sz000859,国风新材,137.97,20250324,221,1,2月,当月淘汰,-9.94,是,-27.05
2月,sz000977,浪潮信息,46.38,20250408,211,3,2月→4月→5月,仍在VL,,,
2月,sz001330,博纳影业,216.09,20250408,211,1,2月,当月淘汰,-29.13,否,-49.02
2月,sz002009,天奇股份,197.5,20250408,211,1,2月,当月淘汰,-39.81,是,-40.2
2月,sz002028,思源电气,206.78,20250408,211,3,2月→3月→4月,4月淘汰,3.67,是,-8.3
2月,sz002112,三变科技,97.3,20250408,211,1,2月,当月淘汰,-21.86,是,-33.77
2月,sz002165,红 宝 丽,158.64,20250218,245,1,2月,当月淘汰,-40.07,是,-46.76
2月,sz002335,科华数据,23.89,20251121,58,1,2月,当月淘汰,-36.71,是,-45.17
2月,sz002600,领益智造,128.34,20250409,210,1,2月,当月淘汰,-5.46,是,-20.28
2月,sz002969,嘉美包装,908.39,20250408,198,1,2月,当月淘汰,-37.94,否,-37.94
2月,sz300115,长盈精密,115.66,20250407,212,1,2月,当月淘汰,-17.03,否,-23.12
2月,sz300570,太辰光,130.88,20250408,211,1,2月,当月淘汰,15.48,是,-27.24
2月,sz300842,帝科股份,236.45,20250407,212,1,2月,当月淘汰,-28.51,否,-34.68
