月份,代码,名称,起点类型,起点日期,进前涨幅,在VL路径,命运,最终收益,回本,最大回撤
3月,sh600026,中远海能,★买MA250:-3.8%/MA500:2.6%,20240207,+70.5%,3月,当月淘汰,-11.4%,Y,-25.3%
2月,sh600028,中国石化,★买MA250:1.6%/MA500:2.1%,20220207,+46.1%,2月,当月淘汰,-23.9%,Y,-38.5%
1月,sh600030,中信证券,★买MA250:15.8%/MA500:8.8%,20230824,+21.2%,1月,当月淘汰,-8.8%,X,-16.2%
3月,sh600066,宇通客车,★买MA250:-8.7%/MA500:-6.0%,20210510,+165.4%,3月,当月淘汰,-9.9%,Y,-17.5%
1月,sh600089,特变电工,★买MA250:-13.1%/MA500:-7.1%,20180222,+211.9%,1月→2月→3月→4月,4月淘汰,-5.5%,Y,-13.0%
5月,sh600105,永鼎股份,★买MA250:-12.5%/MA500:-9.5%,20221130,+1246.8%,5月,仍在VL,-,-,-
1月,sh600111,北方稀土,★买MA250:5.3%/MA500:3.6%,20201103,+408.2%,1月→2月→4月,4月淘汰,-8.3%,Y,-16.1%
4月,sh600118,中国卫星,★买MA250:-8.3%/MA500:0.7%,20240112,+316.9%,4月,当月淘汰,-25.2%,Y,-33.7%
2月,sh600150,中国船舶,★买MA250:-9.0%/MA500:-6.0%,20220317,+99.7%,2月→4月,4月淘汰,-10.5%,Y,-10.5%
5月,sh600176,中国巨石,★买MA250:-2.1%/MA500:-10.4%,20230828,+201.8%,5月,仍在VL,-,-,-
5月,sh600183,生益科技,★买MA250:-6.7%/MA500:-20.6%,20230612,+842.5%,5月,仍在VL,-,-,-
4月,sh600186,莲花控股,★买MA250:4.3%/MA500:14.9%,20210621,+277.5%,4月,当月淘汰,-5.3%,Y,-23.1%
4月,sh600206,有研新材,★买MA250:-3.2%/MA500:13.4%,20210104,+102.7%,4月,当月淘汰,+4.1%,Y,-14.4%
1月,sh600219,南山铝业,★买MA250:-26.6%/MA500:-9.6%,20220429,+150.3%,1月,当月淘汰,-36.3%,X,-38.1%
3月,sh600268,国电南自,★买MA250:0.3%/MA500:5.4%,20220317,+83.2%,3月,当月淘汰,-11.7%,Y,-19.5%
5月,sh600330,天通股份,★买MA250:-10.7%/MA500:-5.5%,20221227,+201.9%,5月,仍在VL,-,-,-
1月,sh600362,江西铜业,★买MA250:-18.9%/MA500:-4.1%,20220318,+262.3%,1月,当月淘汰,-38.3%,X,-39.8%
2月,sh600391,航发科技,★买MA250:-19.2%/MA500:-6.6%,20210511,+193.3%,2月,当月淘汰,-30.7%,Y,-34.0%
1月,sh600392,盛和资源,★买MA250:-27.2%/MA500:-4.1%,20220428,+109.7%,1月→2月,2月淘汰,-25.7%,Y,-36.4%
1月,sh600418,江淮汽车,★买MA250:-4.3%/MA500:19.7%,20210401,+558.8%,1月→2月,2月淘汰,-35.2%,Y,-35.3%
