index,code,date,token,token_7,close_b1,close_b2,close_b3
上证指数,sh000001,2015-09-07,顶分型,顶分型,3160.17,3080.42,3170.4500000000003
上证指数,sh000001,2015-09-08,底分型,底分型,3080.42,3170.4500000000003,3243.09
上证指数,sh000001,2015-09-09,顶分型,顶分型,3170.4500000000003,3243.09,3197.89
上证指数,sh000001,2015-09-10,包含关系,包含关系,3243.09,3197.89,3200.23
上证指数,sh000001,2015-09-11,涨跌涨_假突破,转折,3197.89,3200.23,3114.8
上证指数,sh000001,2015-09-14,包含关系,包含关系,3200.23,3114.8,3005.17
上证指数,sh000001,2015-09-15,跌涨跌_反转,转折,3114.8,3005.17,3152.26
上证指数,sh000001,2015-09-16,包含关系,包含关系,3005.17,3152.26,3086.06
上证指数,sh000001,2015-09-17,顶分型,顶分型,3152.26,3086.06,3097.92
上证指数,sh000001,2015-09-18,简单上涨,方向,3086.06,3097.92,3156.54
上证指数,sh000001,2015-09-21,包含关系,包含关系,3097.92,3156.54,3185.62
上证指数,sh000001,2015-09-22,顶分型,顶分型,3156.54,3185.62,3115.89
上证指数,sh000001,2015-09-23,底分型,底分型,3185.62,3115.89,3142.69
上证指数,sh000001,2015-09-24,包含关系,包含关系,3115.89,3142.69,3092.35
上证指数,sh000001,2015-09-25,跌涨跌_诱多,转折,3142.69,3092.35,3100.76
上证指数,sh000001,2015-09-28,涨跌涨_假突破,转折,3092.35,3100.76,3038.14
上证指数,sh000001,2015-09-29,底分型,底分型,3100.76,3038.14,3052.78
上证指数,sh000001,2015-09-30,简单上涨,方向,3038.14,3052.78,3143.36
上证指数,sh000001,2015-10-08,简单上涨,方向,3052.78,3143.36,3183.15
上证指数,sh000001,2015-10-09,简单上涨,方向,3143.36,3183.15,3287.66
上证指数,sh000001,2015-10-12,顶分型,顶分型,3183.15,3287.66,3293.23
上证指数,sh000001,2015-10-13,包含关系,包含关系,3287.66,3293.23,3262.44
上证指数,sh000001,2015-10-14,跌涨跌_反转,转折,3293.23,3262.44,3338.07
上证指数,sh000001,2015-10-15,包含关系,包含关系,3262.44,3338.07,3391.35
上证指数,sh000001,2015-10-16,涨跌涨,转折,3338.07,3391.35,3386.7000000000003
上证指数,sh000001,2015-10-19,跌涨跌_反转,转折,3391.35,3386.7000000000003,3425.33
上证指数,sh000001,2015-10-20,涨跌涨_假突破,转折,3386.7000000000003,3425.33,3320.6800000000003
上证指数,sh000001,2015-10-21,包含关系,包含关系,3425.33,3320.6800000000003,3368.7400000000002
上证指数,sh000001,2015-10-22,包含关系,包含关系,3320.6800000000003,3368.7400000000002,3412.4300000000003
上证指数,sh000001,2015-10-23,简单上涨,方向,3368.7400000000002,3412.4300000000003,3429.58
上证指数,sh000001,2015-10-26,顶分型,顶分型,3412.4300000000003,3429.58,3434.34
上证指数,sh000001,2015-10-27,底分型,底分型,3429.58,3434.34,3375.2000000000003
上证指数,sh000001,2015-10-28,包含关系,包含关系,3434.34,3375.2000000000003,3387.32
上证指数,sh000001,2015-10-29,涨跌涨,转折,3375.2000000000003,3387.32,3382.56
上证指数,sh000001,2015-10-30,包含关系,包含关系,3387.32,3382.56,3325.08
上证指数,sh000001,2015-11-02,简单下跌,方向,3382.56,3325.08,3316.7000000000003
上证指数,sh000001,2015-11-03,底分型,底分型,3325.08,3316.7000000000003,3459.64
上证指数,sh000001,2015-11-04,简单上涨,方向,3316.7000000000003,3459.64,3522.82
上证指数,sh000001,2015-11-05,简单上涨,方向,3459.64,3522.82,3590.03
上证指数,sh000001,2015-11-06,简单上涨,方向,3522.82,3590.03,3646.88
上证指数,sh000001,2015-11-09,顶分型,顶分型,3590.03,3646.88,3640.4900000000002
上证指数,sh000001,2015-11-10,包含关系,包含关系,3646.88,3640.4900000000002,3650.25
上证指数,sh000001,2015-11-11,涨跌涨_假突破,转折,3640.4900000000002,3650.25,3632.9
上证指数,sh000001,2015-11-12,包含关系,包含关系,3650.25,3632.9,3580.84
上证指数,sh000001,2015-11-13,跌涨跌_诱多,转折,3632.9,3580.84,3606.96
上证指数,sh000001,2015-11-16,底分型,底分型,3580.84,3606.96,3604.8
上证指数,sh000001,2015-11-17,顶分型,顶分型,3606.96,3604.8,3568.4700000000003
上证指数,sh000001,2015-11-18,底分型,底分型,3604.8,3568.4700000000003,3617.06
上证指数,sh000001,2015-11-19,简单上涨,方向,3568.4700000000003,3617.06,3630.5
上证指数,sh000001,2015-11-20,涨跌涨_假突破,转折,3617.06,3630.5,3610.31
上证指数,sh000001,2015-11-23,包含关系,包含关系,3630.5,3610.31,3616.11
上证指数,sh000001,2015-11-24,底分型,底分型,3610.31,3616.11,3647.9300000000003
上证指数,sh000001,2015-11-25,涨跌涨,转折,3616.11,3647.9300000000003,3635.55
上证指数,sh000001,2015-11-26,顶分型,顶分型,3647.9300000000003,3635.55,3436.3
上证指数,sh000001,2015-11-27,跌涨跌_诱多,转折,3635.55,3436.3,3445.4
上证指数,sh000001,2015-11-30,底分型,底分型,3436.3,3445.4,3456.31
上证指数,sh000001,2015-12-01,简单上涨,方向,3445.4,3456.31,3536.91
上证指数,sh000001,2015-12-02,简单上涨,方向,3456.31,3536.91,3584.82
上证指数,sh000001,2015-12-03,顶分型,顶分型,3536.91,3584.82,3524.9900000000002
上证指数,sh000001,2015-12-04,跌涨跌_诱多,转折,3584.82,3524.9900000000002,3536.9300000000003
上证指数,sh000001,2015-12-07,涨跌涨_假突破,转折,3524.9900000000002,3536.9300000000003,3470.07
上证指数,sh000001,2015-12-08,跌涨跌_诱多,转折,3536.9300000000003,3470.07,3472.44
上证指数,sh000001,2015-12-09,涨跌涨_假突破,转折,3470.07,3472.44,3455.5
上证指数,sh000001,2015-12-10,包含关系,包含关系,3472.44,3455.5,3434.58
上证指数,sh000001,2015-12-11,跌涨跌_反转,转折,3455.5,3434.58,3520.67
上证指数,sh000001,2015-12-14,包含关系,包含关系,3434.58,3520.67,3510.35
上证指数,sh000001,2015-12-15,跌涨跌_诱多,转折,3520.67,3510.35,3516.19
上证指数,sh000001,2015-12-16,简单上涨,方向,3510.35,3516.19,3580.0
上证指数,sh000001,2015-12-17,涨跌涨,转折,3516.19,3580.0,3578.96
上证指数,sh000001,2015-12-18,跌涨跌_反转,转折,3580.0,3578.96,3642.4700000000003
上证指数,sh000001,2015-12-21,包含关系,包含关系,3578.96,3642.4700000000003,3651.77
上证指数,sh000001,2015-12-22,涨跌涨_假突破,转折,3642.4700000000003,3651.77,3636.09
上证指数,sh000001,2015-12-23,顶分型,顶分型,3651.77,3636.09,3612.4900000000002
上证指数,sh000001,2015-12-24,底分型,底分型,3636.09,3612.4900000000002,3627.91
上证指数,sh000001,2015-12-25,包含关系,包含关系,3612.4900000000002,3627.91,3533.78
上证指数,sh000001,2015-12-28,包含关系,包含关系,3627.91,3533.78,3563.7400000000002
上证指数,sh000001,2015-12-29,底分型,底分型,3533.78,3563.7400000000002,3572.88
上证指数,sh000001,2015-12-30,涨跌涨_假突破,转折,3563.7400000000002,3572.88,3539.1800000000003
上证指数,sh000001,2015-12-31,顶分型,顶分型,3572.88,3539.1800000000003,3296.26
上证指数,sh000001,2016-01-04,简单下跌,方向,3539.1800000000003,3296.26,3287.71
上证指数,sh000001,2016-01-05,底分型,底分型,3296.26,3287.71,3361.84
上证指数,sh000001,2016-01-06,顶分型,顶分型,3287.71,3361.84,3125.0
上证指数,sh000001,2016-01-07,跌涨跌_诱多,转折,3361.84,3125.0,3186.41
上证指数,sh000001,2016-01-08,涨跌涨_假突破,转折,3125.0,3186.41,3016.7000000000003
上证指数,sh000001,2016-01-11,跌涨跌_诱多,转折,3186.41,3016.7000000000003,3022.86
上证指数,sh000001,2016-01-12,涨跌涨_假突破,转折,3016.7000000000003,3022.86,2949.6
上证指数,sh000001,2016-01-13,包含关系,包含关系,3022.86,2949.6,3007.65
上证指数,sh000001,2016-01-14,底分型,底分型,2949.6,3007.65,2900.9700000000003
上证指数,sh000001,2016-01-15,包含关系,包含关系,3007.65,2900.9700000000003,2913.84
上证指数,sh000001,2016-01-18,底分型,底分型,2900.9700000000003,2913.84,3007.7400000000002
上证指数,sh000001,2016-01-19,涨跌涨,转折,2913.84,3007.7400000000002,2976.69
上证指数,sh000001,2016-01-20,顶分型,顶分型,3007.7400000000002,2976.69,2880.48
上证指数,sh000001,2016-01-21,跌涨跌_诱多,转折,2976.69,2880.48,2916.56
